family,indicator,tf,eye_direction,eye_state,eye_tr_n,eye_tr_exp,eye_va_n,eye_va_exp,eye_va_win_pct,eye_va_ret_pct,eye_verdict,ungated_tr_n,ungated_tr_exp,ungated_va_n,ungated_va_exp,ungated_verdict,atr_gate_dir,atr_tr_n,atr_tr_exp,atr_va_n,atr_va_exp,control_n_draws,control_mean_va_exp,control_median_va_exp,control_pct_beat_eye,control_pct_beat_ungated
volatility,Keltner breakout,15m,long,uptrend|at range high|clean|expanding,31,3.1035,7,31.4924,57.14,2.2,UNRELIABLE,2933,-2.7075,897,-0.5442,FAIL,below,656,-1.1805840874327513,151,-11.70573721669682,20,-5.688835000000001,-9.482,0.15,0.4
volatility,Keltner mean-revert,15m,short,transition|at range high|messy|expanding,22,4.9186,4,-22.9549,25.0,-0.92,UNRELIABLE,2933,-2.6718,897,-6.2725,FAIL,above,485,-6.240016568766542,217,-13.488754276099607,20,-17.57842,-20.8683,0.65,0.45
volatility,Stdev channel mean-revert,15m,short,transition|at range high|messy|expanding,21,-6.8278,5,36.8503,60.0,1.84,UNRELIABLE,2414,-3.5998,791,-4.629,FAIL,below,595,-7.989087594755288,133,-8.242885979618537,20,-36.28569,-47.4939,0.1,0.1
volume,A/D line trend (vs own MA),15m,short,transition|at range low|clean|contracting,63,9.3379,30,-8.7109,36.67,-2.61,FAIL,18287,-0.5468,5899,-1.6717,FAIL,below,1308,-4.558110661298232,381,-11.115391071092361,20,-13.424325,-15.85925,0.45,0.4
volume,A/D line trend (vs own MA),1h,short,downtrend|at range low|clean|expanding,25,63.8265,13,21.08,53.85,2.74,SURVIVOR,4518,-2.179,1483,-5.6096,FAIL,below,529,-4.588578822571848,140,-11.725436157585513,20,-10.516215000000003,-5.8927000000000005,0.35,0.5
volume,CMF 0-cross,15m,short,transition|at range low|messy|contracting,154,0.5134,47,-27.8678,25.53,-13.1,FAIL,15917,-0.6283,5259,-1.8285,FAIL,below,1253,-4.901001243064656,360,-8.621639183419527,20,-6.111005,-6.0296,1.0,0.4
volume,CMF 0-cross,1h,long,uptrend|pulling back in trend|clean|contracting,20,61.8916,10,99.7137,80.0,9.97,SURVIVOR,3764,-2.0755,1261,-5.1749,FAIL,below,494,-5.193915723075695,133,-3.844214380712928,20,-16.224790000000002,-16.67155,0.05,0.35
volume,Ease of Movement 0-cross,15m,short,transition|at range low|clean|contracting,294,0.2859,102,-11.1914,34.31,-11.42,FAIL,58265,-0.1716,18607,-0.537,FAIL,below,1481,-4.36150467210802,433,-8.430102467444994,20,-8.99531,-11.3527,0.4,0.2
volume,Ease of Movement 0-cross,1h,long,transition|at range low|clean|expanding,31,23.0004,6,36.0348,50.0,2.16,UNRELIABLE,14727,-0.6756,4857,-1.8073,FAIL,above,540,-4.379365437162659,258,-12.41013655273228,20,-12.367174999999998,-13.4568,0.0,0.25
volume,Force Index 0-cross,15m,short,uptrend|at range high|clean|contracting,20,20.8178,7,24.516,57.14,1.72,UNRELIABLE,14135,-0.7074,4943,-1.7412,FAIL,above,966,-4.367402339056398,442,-5.839667326976252,20,-3.9791450000000004,-3.42245,0.0,0.35
